ds,all_day_bing_tiles_visited_relative_change
2020-07-07,-0.050486111111111114
2020-07-08,-0.043207777777777776
2020-07-09,-0.05600722222222222
2020-07-10,-0.07132055555555555
2020-07-11,-0.049333888888888885
2020-07-12,-0.10335555555555556
2020-07-13,-0.04434333333333333
2020-07-14,-0.04685111111111111
2020-07-15,-0.051201111111111114
2020-07-16,-0.05581222222222223
2020-07-17,-0.07520944444444444
2020-07-18,-0.05140222222222222
2020-07-19,-0.10135444444444444
2020-07-20,-0.04628111111111111
2020-07-21,-0.060423333333333336
2020-07-22,-0.06718
2020-07-23,-0.06121833333333334
2020-07-24,-0.07574722222222223
2020-07-25,-0.05908833333333333
2020-07-26,-0.10709166666666667
2020-07-27,-0.050250555555555555
2020-07-28,-0.07516666666666666
2020-07-29,-0.06281666666666667
2020-07-30,-0.05687222222222223
2020-07-31,-0.09366166666666667
2020-08-01,-0.05016
2020-08-02,-0.12100277777777776
2020-08-03,-0.04414388888888889
2020-08-04,-0.05093611111111111
2020-08-05,-0.04942166666666667
2020-08-06,-0.051526666666666665
2020-08-07,-0.07779333333333333
2020-08-08,-0.053637222222222225
2020-08-09,-0.10398944444444444
2020-08-10,-0.05107333333333333
2020-08-11,-0.07678555555555555
2020-08-12,-0.09327444444444445
2020-08-13,-0.07769444444444445
2020-08-14,-0.08436722222222222
2020-08-15,-0.09543499999999999
2020-08-16,-0.10920611111111111
2020-08-17,-0.063305
2020-08-18,-0.08369
2020-08-19,-0.08353833333333333
2020-08-20,-0.08483166666666667
2020-08-21,-0.10791
2020-08-22,-0.08275333333333333
2020-08-23,-0.1138988888888889
2020-08-24,-0.08151333333333334
2020-08-25,-0.08044000000000001
2020-08-26,-0.0900838888888889
2020-08-27,-0.09382722222222223
2020-08-28,-0.11724444444444443
2020-08-29,-0.12220055555555555
2020-08-30,-0.17531
2020-08-31,-0.07519444444444444
2020-09-01,-0.06264666666666667
2020-09-02,-0.07668166666666668
2020-09-03,-0.07309444444444445
2020-09-04,-0.085025
2020-09-05,-0.07090722222222222
2020-09-06,-0.14200944444444444
2020-09-07,-0.06982055555555555
2020-09-08,-0.09350944444444445
2020-09-09,-0.06129055555555555
2020-09-10,-0.07536
2020-09-11,-0.10090111111111111
2020-09-12,-0.09565444444444444
2020-09-13,-0.14158833333333332
2020-09-14,-0.06405166666666667
