,0
2020-03-01,0.2865025057782268
2020-03-02,0.20832081185466864
2020-03-03,0.21891511043542056
2020-03-04,0.19469139538506228
2020-03-05,0.2006147496764509
2020-03-06,0.19949578268629295
2020-03-07,0.227997553355596
2020-03-08,0.21892677771036195
2020-03-09,0.1919073135733068
2020-03-10,0.20083175130696865
2020-03-11,0.20567217623541167
2020-03-12,0.2154100416576291
2020-03-13,0.22885351912447457
2020-03-14,0.26658217825961605
2020-03-15,0.2752543653753916
2020-03-16,0.2758577468230674
2020-03-17,0.29749895725611386
2020-03-18,0.32496046479791
2020-03-19,0.31884681276510907
2020-03-20,0.31219148023290605
2020-03-21,0.34579499582624784
2020-03-22,0.3679109964877792
2020-03-23,0.33730047138274216
2020-03-24,0.35197283471835955
2020-03-25,0.3555296256492005
2020-03-26,0.3646577239913199
2020-03-27,0.3509821149344449
2020-03-28,0.3628406642609807
2020-03-29,0.40024062370211483
2020-03-30,0.4018792385605378
2020-03-31,0.4047767671005112
2020-04-01,0.40311064582533834
2020-04-02,0.44137820997320887
2020-04-03,0.40155409668473524
2020-04-04,0.4414782737492553
2020-04-05,0.4171173178735735
2020-04-06,0.4124275987962924
2020-04-07,0.4274510584041921
2020-04-08,0.4242096161533873
2020-04-09,0.42834038283930687
2020-04-10,0.3918532273721879
2020-04-11,0.41404725735440623
2020-04-12,0.4286060582610515
2020-04-13,0.3791689707534386
2020-04-14,0.359863361138888
2020-04-15,0.3512312628304778
2020-04-16,0.40971627034235486
2020-04-17,0.40998060235714817
2020-04-18,0.4662949613837432
2020-04-19,0.4759979026791081
2020-04-20,0.47224679597268865
2020-04-21,0.5037323170321698
2020-04-22,0.517617728136579
2020-04-23,0.5112325589149121
2020-04-24,0.49092147161758837
2020-04-25,0.48758136487843956
2020-04-26,0.4703794944874011
2020-04-27,0.33291047220749315
2020-04-28,0.342358761236044
2020-04-29,0.36131004413474976
2020-04-30,0.3514647580269178
2020-05-01,0.34831946580554846
2020-05-02,0.36821924111702536
2020-05-03,0.36500981326990306
2020-05-04,0.35088901279685675
2020-05-05,0.35617443460683024
2020-05-06,0.3879057838772875
2020-05-07,0.3808583400021757
2020-05-08,0.3606282746085151
2020-05-09,0.39902655156616534
2020-05-10,0.4143753404833208
2020-05-11,0.3129728185906044
2020-05-12,0.30343215965673226
2020-05-13,0.3064783769097439
2020-05-14,0.29731973414378926
2020-05-15,0.2870236609860148
2020-05-16,0.2996484807255019
2020-05-17,0.3180586961013787
2020-05-18,0.28347346622899383
2020-05-19,0.2883433147740968
2020-05-20,0.2776543898707111
2020-05-21,0.28081694284734476
2020-05-22,0.2889817723567911
2020-05-23,0.3284582096263776
2020-05-24,0.31895944503849777
2020-05-25,0.32022578551099773
2020-05-26,0.2769837971163492
2020-05-27,0.24505814483776972
2020-05-28,0.24969785151912735
2020-05-29,0.25537356066340955
2020-05-30,0.2650458263107975
2020-05-31,0.25878010884961156
2020-06-01,0.2175039391010574
2020-06-02,0.22987426751089857
2020-06-03,0.2452967416121944
2020-06-04,0.2401245909227886
2020-06-05,0.2283104552704771
2020-06-06,0.2340702468934565
2020-06-07,0.24115906858822336
2020-06-08,0.21467949307821182
2020-06-09,0.21994200790937213
2020-06-10,0.2187445683909959
2020-06-11,0.22010672567231793
2020-06-12,0.2173876167950866
2020-06-13,0.24048439893094048
2020-06-14,0.2354234803248736
